epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,14014.7,1.09909,0.69923,0.9372,0.75434,0.64397,0.67787,0.44958,1.37521,3.82967,1.07295,0.004258,0.004258,0.004258
118,14132.9,1.09337,0.69236,0.93832,0.75233,0.64435,0.67833,0.44998,1.37495,3.8289,1.07282,0.0042085,0.0042085,0.0042085
119,14251.2,1.09608,0.69635,0.93911,0.75464,0.64239,0.67796,0.45016,1.37524,3.82607,1.07285,0.004159,0.004159,0.004159
120,14368.1,1.09678,0.69099,0.93594,0.75462,0.64329,0.67806,0.45011,1.37493,3.82236,1.07268,0.0041095,0.0041095,0.0041095
121,14483.9,1.09456,0.69526,0.93923,0.75601,0.64221,0.67804,0.45026,1.37478,3.81924,1.07265,0.00406,0.00406,0.00406
122,14600.6,1.08951,0.689,0.93603,0.75596,0.643,0.67801,0.45022,1.37469,3.81886,1.07254,0.0040105,0.0040105,0.0040105
123,14717.2,1.09892,0.69617,0.94032,0.75615,0.64281,0.67843,0.45036,1.37534,3.81537,1.07274,0.003961,0.003961,0.003961
124,14832.5,1.09108,0.69571,0.93668,0.75428,0.64384,0.6786,0.45037,1.3752,3.81385,1.07253,0.0039115,0.0039115,0.0039115
125,14949.7,1.08941,0.68847,0.93737,0.75501,0.64273,0.67848,0.45059,1.37538,3.81003,1.0724,0.003862,0.003862,0.003862
126,15066.4,1.09409,0.68886,0.93346,0.75323,0.6448,0.67857,0.45068,1.3756,3.81457,1.07249,0.0038125,0.0038125,0.0038125
127,15182.8,1.09004,0.68723,0.93449,0.75216,0.64587,0.67848,0.45095,1.37468,3.81093,1.07187,0.003763,0.003763,0.003763
128,15302.3,1.08004,0.67801,0.93369,0.75113,0.64705,0.67869,0.45081,1.37482,3.81776,1.07187,0.0037135,0.0037135,0.0037135
129,15419.4,1.08577,0.68197,0.93308,0.75404,0.64509,0.67871,0.45086,1.37415,3.82015,1.07181,0.003664,0.003664,0.003664
130,15537.5,1.08057,0.68054,0.93197,0.75004,0.64773,0.67896,0.45109,1.3743,3.82032,1.07163,0.0036145,0.0036145,0.0036145
131,15655.4,1.08425,0.68133,0.9337,0.74915,0.64806,0.67879,0.45104,1.37444,3.81645,1.07198,0.003565,0.003565,0.003565
132,15774.4,1.08278,0.6775,0.93194,0.75121,0.64783,0.67896,0.45102,1.37494,3.81715,1.07199,0.0035155,0.0035155,0.0035155
133,15891.2,1.07916,0.67967,0.93288,0.75088,0.64811,0.67918,0.45143,1.37466,3.81505,1.07191,0.003466,0.003466,0.003466
134,16009.9,1.07363,0.67032,0.93082,0.74926,0.65013,0.67925,0.45133,1.37412,3.81134,1.07163,0.0034165,0.0034165,0.0034165
135,16128.6,1.07408,0.67539,0.93195,0.74988,0.65041,0.67939,0.45159,1.37418,3.81331,1.07172,0.003367,0.003367,0.003367
136,16246.4,1.06801,0.66942,0.92928,0.75086,0.65069,0.67943,0.45161,1.37392,3.80985,1.07144,0.0033175,0.0033175,0.0033175
137,16364.9,1.07305,0.67571,0.93109,0.75022,0.65149,0.67998,0.45202,1.37344,3.80898,1.07089,0.003268,0.003268,0.003268
138,16485.9,1.07243,0.6695,0.92912,0.75217,0.65133,0.67978,0.45197,1.37335,3.80429,1.07104,0.0032185,0.0032185,0.0032185
139,16603,1.06611,0.66839,0.92956,0.75218,0.65023,0.6798,0.45209,1.37301,3.80326,1.07063,0.003169,0.003169,0.003169
140,16721.1,1.07294,0.67038,0.92842,0.75161,0.65087,0.67995,0.45255,1.37323,3.80697,1.07046,0.0031195,0.0031195,0.0031195
141,16836.9,1.06568,0.66837,0.93048,0.75211,0.65155,0.67973,0.45234,1.37276,3.80999,1.0702,0.00307,0.00307,0.00307
142,16954.7,1.06575,0.66654,0.92822,0.74946,0.65204,0.67973,0.45251,1.37267,3.80749,1.07037,0.0030205,0.0030205,0.0030205
143,17071.7,1.06425,0.66389,0.92579,0.7482,0.65314,0.6797,0.45266,1.37242,3.80682,1.07002,0.002971,0.002971,0.002971
144,17188.2,1.06922,0.66455,0.93101,0.74872,0.65299,0.67986,0.45279,1.37194,3.80424,1.06975,0.0029215,0.0029215,0.0029215
145,17304.9,1.05904,0.65768,0.9253,0.74802,0.65227,0.68016,0.45331,1.37184,3.80278,1.0698,0.002872,0.002872,0.002872
146,17420,1.06813,0.66195,0.92779,0.7518,0.65055,0.68025,0.45318,1.37109,3.80695,1.06944,0.0028225,0.0028225,0.0028225
147,17534.9,1.05746,0.65775,0.9261,0.75317,0.64924,0.68066,0.4536,1.37064,3.80408,1.06906,0.002773,0.002773,0.002773
148,17651.3,1.05338,0.65066,0.9228,0.75346,0.64965,0.6808,0.45381,1.371,3.80713,1.06905,0.0027235,0.0027235,0.0027235
149,17768.3,1.05147,0.65391,0.92313,0.75481,0.64965,0.68113,0.45393,1.37082,3.80567,1.06888,0.002674,0.002674,0.002674
